enrollment,percent-reduced-lunch,percent-disadvantaged,percent-limited-english,average-salary,student-teacher-ratio,student-counselor-ratio,percentage-female,teachers-experience,percentage-certified,Universal_ID,Hispanic,White,African American,Asian,Native Hawaiian or Other Pacific Islander,Two or more races,Native American,Asian or Pacific Islander
350.0,0.0,,1.71569,120415.86,11.32,,48.857142,0.0,100.0,3603551,2.857142,70.857142,0.0,,0.285714,7.428571,0.0,18.571428
1064.0,76.033834,,14.4231,100450.88,12.64,268.5,50.939849,16.470588,100.0,3603292,78.947368,14.379699,4.323308,,0.0,0.281954,0.281954,1.785714
642.0,41.588785,,19.3215,121086.21,12.54,,49.844236,0.0,100.0,3604094,52.024922,27.725856,10.5919,,0.0,4.36137,0.0,5.29595
456.0,87.280701,,26.5258,100841.76,11.97,,44.736842,14.705882,100.0,3603294,88.377192,7.894736,1.754385,,0.219298,0.438596,0.219298,1.096491
692.0,7.947976,,0.0,108713.11,9.69,135.6,45.664739,1.428571,100.0,3600153,12.427745,64.161849,4.624277,,0.289017,0.722543,0.0,17.774566
78.0,,,,,,,85.8974,,,3605822,0.0,10.5263,0.0,89.4737,0.0,0.0,0.0,
516.0,5.232558,,4.66418,109377.73,11.8,,47.868217,0.0,100.0,3606465,9.88372,68.217054,2.906976,,0.0,8.333333,0.193798,10.465116
394.0,12.436548,,3.30789,87958.02,13.2,,52.538071,20.0,100.0,3601758,19.28934,59.898477,1.269035,,0.761421,3.807106,0.0,14.974619
628.0,48.089171,,21.2828,128020.98,15.91,,50.318471,2.432498,100.0,3601104,57.165605,31.687898,7.802547,,0.0,0.955414,0.159235,2.229299
862.0,6.148491,,3.18302,113718.56,13.58,842.0,46.63573,6.451612,100.0,3600155,11.832946,56.728538,3.364269,,0.0,6.728538,0.116009,21.229698
88.0,,,,,,,100.0,,,3617939,0.0,100.0,0.0,0.0,0.0,0.0,0.0,
88.0,,,,,,,60.2273,,,3607302,0.0,100.0,0.0,0.0,0.0,0.0,0.0,
312.0,8.653846,,1.92308,98730.56,12.8,,48.397435,4.310344,100.0,3601759,11.217948,70.51282,2.564102,,0.641025,1.602564,0.0,13.461538
